10	Preparatory systems
45-65-35/345	Geosynthetic clay liners (GCLs)	45-65-35
45-65-35/350	High density polyethylene (PE-HD) geogrids	45-65-35
45-65-35/355	Polyester (PET) geogrids	45-65-35
45-65-35/360	Butyl rubber geomembranes	45-65-35
45-65-35/365	Chlorinated polyethylene (PE-C) geomembranes	45-65-35
45-65-35/370	Chlorosulfonated polyethylene (PE-CS) geomembranes	45-65-35
45-65-35/375	Ethylene propylene diene monomer (EPDM) geomembranes	45-65-35
45-65-35/380	Low density polyethylene (PE-LD) geomembranes	45-65-35
45-65-35/385	High density polyethylene (PE-HD) geomembrane	45-65-35
45-65-35/390	Polypropylene geomembranes	45-65-35
45-65-35/392	Polyvinyl chloride (PVC) geomembranes	45-65-35
45-65-35/395	Polyvinylidene fluoride (PVDF) hydrophobic geomembrane	45-65-35
45-65-35/400	Biodegradable flax geotextiles	45-65-35
45-65-35/405	Bituminous felt geotextiles	45-65-35
45-65-35/410	Glass fibre tissue geotextiles	45-65-35
45-65-35/415	Jute geotextiles	45-65-35
45-65-35/420	Polyacrylonitrile (PAN) water retention geotextiles	45-65-35
45-65-35/425	Polyamide water retention geotextiles	45-65-35
45-65-35/430	Polyester filter geotextiles	45-65-35
45-65-35/435	Polyethylene filter geotextiles	45-65-35
45-65-35/440	Polypropylene filter geotextiles	45-65-35
45-65-35/445	Polypropylene water retention geotextiles	45-65-35
45-65-35/450	Polyvinylidene fluoride (PVDF) hydrophilic geotextiles	45-65-35
45-65-35/455	Foamed aminoplastic resin moisture retention mats	45-65-35
45-65-40	Glazing sheets	45-65
45-65-40/305	Glass generally	45-65-40
45-65-40/310	Annealed glass	45-65-40
45-65-40/315	Heat strengthened glass	45-65-40
45-65-40/320	Laminated glass	45-65-40
45-65-40/325	Lead or X-ray glass	45-65-40
45-65-40/330	Plastics glazing sheet	45-65-40
45-65-40/335	Thermally toughened glass	45-65-40
45-65-40/340	Wired glass	45-65-40
45-65-40/370	Insulated glass units (IGUs)	45-65-40
45-65-40/375	Glass beams	45-65-40
45-65-40/380	Glass fins	45-65-40
45-65-40/385	U profiled glass channels	45-65-40
45-65-40/410	Applied details	45-65-40
45-65-40/420	Glazing beads	45-65-40
45-65-50	Membranes, liners, flexible sheets and fabrics	45-65
45-65-50/302	Modified acrylic fabric	45-65-50
45-65-50/304	Bitumen sheets	45-65-50
45-65-50/305	Self adhesive bitumen sheets	45-65-50
45-65-50/306	Bitumen sheet root barriers	45-65-50
45-65-50/308	Reinforced bitumen membrane capsheet	45-65-50
45-65-50/310	Reinforced bitumen membrane underlayer	45-65-50
45-65-50/312	Reinforced bitumen membrane perforated underlay	45-65-50
45-65-50/314	Reinforced bitumen membrane vapour control layer	45-65-50
45-65-50/316	Reinforced bitumen membrane underlay	45-65-50
45-65-50/318	Reinforced bitumen membrane slip planes	45-65-50
45-65-50/320	Sheathing felt	45-65-50
45-65-50/322	Building paper	45-65-50
45-65-50/324	Carborundum slip resistant paper	45-65-50
45-65-50/326	Cellulose fibre breather membranes	45-65-50
45-65-50/328	Cotton canvas tensile fabric	45-65-50
45-65-50/332	Ethylene propylene diene monomer (EPDM) rubber mat	45-65-50
45-65-50/334	Ethylene propylene diene monomer (EPDM) rubber tiles	45-65-50
45-65-50/336	Window films	45-65-50
45-65-50/338	Glass fibre fleece	45-65-50
45-65-50/340	Membranes with integrated flexible photovoltaic (PV) modules	45-65-50
45-65-50/342	Pitch polymer membranes	45-65-50
45-65-50/344	Plant and natural fibre linings	45-65-50
45-65-50/346	Polyamide plastics sheet	45-65-50
45-65-50/348	Polyester fabric (coated)	45-65-50
45-65-50/350	Polyester fibre fleece	45-65-50
45-65-50/352	Polyester tensile fabric	45-65-50
45-65-50/354	High density polyethylene studded sheets	45-65-50
45-65-50/356	Polyethylene sheets	45-65-50
45-65-50/357	Polyethylene breather membranes	45-65-50
45-65-50/358	Polyethylene sheet root barriers	45-65-50
45-65-50/359	Polyethylene composite gas retardant sheets	45-65-50
45-65-50/362	Polyolefin breather membranes	45-65-50
45-65-50/363	Polymeric roofing membranes	45-65-50
45-65-50/364	Polypropylene membranes	45-65-50
45-65-50/366	Polypropylene breather membranes	45-65-50
45-65-50/368	Polypropylene studded sheets	45-65-50
45-65-50/370	Expanded polytetrafluoroethylene (ePTFE) tensile fabric	45-65-50
45-65-50/372	Polytetrafluoroethylene (PTFE) fabric (uncoated)	45-65-50
45-65-50/374	Polytetrafluoroethylene (PTFE) tensile fabric	45-65-50
45-65-50/378	Polyvinyl chloride (unplasticized) (PVC-U) sheet	45-65-50
45-65-50/380	Rubber studded membrane (ABS)	45-65-50
45-65-50/382	Solar glass-weave tensile fabric	45-65-50
45-65-50/384	Stretch fabric membranes	45-65-50
45-65-50/386	Suspended fabric panels	45-65-50
45-65-50/390	Membrane walkways	45-65-50
45-65-50/392	Standing seam profiles for membranes	45-65-50
45-65-52	Metal Sheets	45-65
45-65-52/305	Aluminium long strip	45-65-52
45-65-52/310	Aluminium profiled sheet	45-65-52
45-65-52/315	Aluminium profiled sheet decking	45-65-52
45-65-52/320	Aluminium sheet	45-65-52
45-65-52/325	Aluminium traditional sheet	45-65-52
45-65-52/330	Copper long strip	45-65-52
45-65-52/335	Copper slates	45-65-52
45-65-52/340	Copper traditional sheet	45-65-52
45-65-52/345	Low carbon steel linings	45-65-52
45-65-52/350	Carbon steel profiled sheet	45-65-52
45-65-52/355	Low carbon steel sheet	45-65-52
45-65-52/360	Low carbon steel sheet walkway reinforcement	45-65-52
45-65-52/365	Lead machine cast sheet	45-65-52
45-65-52/370	Lead rolled sheet	45-65-52
45-65-52/375	Lead slates	45-65-52
45-65-52/380	Steel pales	45-65-52
45-65-52/385	Steel plate, sheet and strip	45-65-52
45-65-52/390	Steel pressed panels	45-65-52
45-65-52/395	Steel products generally	45-65-52
45-65-52/400	Steel profiled sheet	45-65-52
45-65-52/405	Stainless steel long strip and sheet	45-65-52
45-65-52/410	Stainless steel profiled sheets	45-65-52
45-65-52/415	Stainless steel sheet	45-65-52
45-65-52/420	Stainless steel traditional sheet	45-65-52
45-65-52/425	Zinc strip – soft temper alloy	45-65-52
45-65-52/430	Zinc strip – standard temper alloy	45-65-52
45-65-52/435	Zinc traditional sheet – standard temper alloy	45-65-52
45-65-52/440	Metal acoustic fencing products	45-65-52
45-65-52/445	Metal profiled sheet	45-65-52
45-65-52/450	Metal sheets generally	45-65-52
45-65-54	Mineral-based rigid sheets	45-65
45-65-54/320	Fibre reinforced cement sheet	45-65-54
45-65-54/321	Fibre reinforced cement profiled sheets	45-65-54
45-65-56	Netting and non-reinforcement mesh	45-65
45-65-56/310	Glass fibre mesh	45-65-56
45-65-56/320	Expanded metal mesh	45-65-56
45-65-56/330	Perforated metal mesh	45-65-56
45-65-56/340	Plastics mesh	45-65-56
45-65-56/350	Welded metal mesh	45-65-56
45-65-56/360	Woven metal mesh	45-65-56
45-65-56/370	Continuous chain link mesh	45-65-56
45-65-56/400	Metallic net	45-65-56
45-65-56/410	Natural net	45-65-56
45-65-56/420	Plastics net	45-65-56
45-65-56/450	Safety nets	45-65-56
45-65-56/460	Cleft chestnut palisade rolls	45-65-56
45-65-60	Plastics based rigid sheets	45-65
45-65-60/310	Plastic sheet wall cladding	45-65-60
45-65-60/320	Plastics, composite and recycled plastics sheets	45-65-60
45-65-60/330	Factory assembled insulating rooflights (FAIRS)	45-65-60
45-65-60/340	GRP profiled sheets	45-65-60
45-65-60/350	Polycarbonate profiled sheets	45-65-60
45-65-60/360	PVC-U profiled sheets	45-65-60
45-65-95	Veneers and facings	45-65
45-65-95/305	Wood veneers	45-65-95
45-65-95/310	Balancing veneers	45-65-95
45-65-95/315	Decorative continuous laminates (DCL or CPL)	45-65-95
45-65-95/320	High pressure decorative laminate (HPL or HPDL)	45-65-95
45-65-95/325	Specialist facings	45-65-95
45-65-95/330	Edgings and lippings	45-65-95
45-65-95/335	Decorative facings	45-65-95
45-70	Support products	45
45-70-05	Brackets and Supports	45-70
45-70-05/305	Aluminium bronze brackets	45-70-05
45-70-05/310	Carbon steel brackets	45-70-05
45-70-05/315	Copper brackets	45-70-05
45-70-05/320	Phosphor bronze brackets	45-70-05
45-70-05/325	Stainless steel brackets	45-70-05
45-70-05/335	Carbon steel cavity barrier brackets	45-70-05
45-70-05/340	Stainless steel cavity barrier brackets	45-70-05
45-70-05/350	Galvanized steel struts	45-70-05
45-70-05/355	Stainless steel struts	45-70-05
45-70-05/360	Aluminium carrier rails	45-70-05
45-70-05/365	Carbon steel carrier rails	45-70-05
45-70-05/367	Curtain wall adjustable support brackets	45-70-05
45-70-05/370	Galvanized steel brackets	45-70-05
45-70-05/375	Stainless steel, cladding angles and brackets	45-70-05
45-70-05/380	Stainless steel, cladding channels and ties	45-70-05
45-70-05/385	Stainless steel, angles and brackets	45-70-05
45-70-05/390	Stainless steel carrier rails	45-70-05
45-70-05/395	Aluminium brackets	45-70-05
45-70-05/400	Carbon steel brackets	45-70-05
45-70-05/403	Metal brackets for fixing timber members	45-70-05
45-70-05/405	Stainless steel brackets	45-70-05
45-70-05/407	Slotted wall channel	45-70-05
45-70-05/410	Stainless steel handrail brackets	45-70-05
45-70-05/415	Banding	45-70-05
45-70-05/420	Aluminium brackets for rainwater gutters	45-70-05
45-70-05/425	Aluminium brackets for downpipes	45-70-05
45-70-05/430	Cast iron brackets for rainwater gutters	45-70-05
45-70-05/435	Cast iron brackets for downpipes	45-70-05
45-70-05/440	Copper brackets for rainwater gutters	45-70-05
45-70-05/445	Copper brackets for downpipes	45-70-05
45-70-05/450	Galvanized brackets for rainwater gutters	45-70-05
45-70-05/455	Galvanized brackets for downpipes	45-70-05
45-70-05/460	PVC-U brackets for rainwater gutters	45-70-05
45-70-05/465	PVC-U brackets for downpipes	45-70-05
45-70-05/470	Equal angles fastenings	45-70-05
45-70-05/475	Fasteners for securing equipment	45-70-05
45-70-30	Frames	45-70
45-70-30/305	Aluminium curtain wall frame sections	45-70-30
45-70-30/310	Aluminium subframe for structural sealant glazing	45-70-30
45-70-30/315	Carbon steel curtain wall frame sections	45-70-30
45-70-30/320	Carbon steel subframe for structural sealant glazing	45-70-30
45-70-30/325	PVC-U curtain wall frame sections	45-70-30
45-70-30/330	Aluminium patent glazing bars	45-70-30
45-70-30/335	Carbon steel patent glazing bars	45-70-30
45-70-30/340	Sheathed carbon steel patent glazing bars	45-70-30
45-70-30/345	Metal mullions and transoms	45-70-30
45-70-30/350	Aluminium frames	45-70-30
45-70-30/355	Carbon steel frames	45-70-30
45-70-30/360	PVC-U frames	45-70-30
45-70-30/365	Wood frames	45-70-30
45-70-30/370	Stainless steel frames	45-70-30
45-70-30/375	PVC-U subframes	45-70-30
45-70-30/380	Wood subframes	45-70-30
45-70-30/385	Resilient (acoustic) bars	45-70-30
45-70-30/390	Steel frames for dry linings	45-70-30
45-70-30/415	Carbon steel components in timber frames	45-70-30
45-70-30/420	Stainless steel components in timber frames	45-70-30
45-70-30/425	Cold-formed steel strip stud	45-70-30
45-70-45	Legs, pedestals, grids and hangers	45-70
45-70-45/305	Access floor bridging sections	45-70-45
45-70-45/310	Access floor pedestals	45-70-45
45-70-45/315	Access floor stringers	45-70-45
45-70-45/320	Acoustic batten cradles	45-70-45
45-70-45/325	Cubicle and partition legs	45-70-45
45-70-45/330	Decking and paving pedestals	45-70-45
45-70-45/335	Demountable suspended ceiling grid	45-70-45
45-70-45/345	Leg supports	45-70-45
45-70-45/350	Metal suspended ceiling hangers	45-70-45
45-70-70	Rails	45-70
45-70-70/310	Carbon steel rectangular hollow sections for safety barriers	45-70-70
45-70-70/315	Carbon steel open box beams for safety barriers	45-70-70
45-70-70/320	Carbon steel tensioned corrugated beams for safety barriers	45-70-70
45-70-70/325	Carbon steel untensioned corrugated beams for safety barriers	45-70-70
45-70-70/330	Carbon steel transitions and connections for safety barriers	45-70-70
45-70-70/340	Aluminium alloy rails	45-70-70
45-70-70/355	Carbon steel hoops	45-70-70
45-70-70/360	Stainless steel hoops	45-70-70
45-70-70/365	Carbon steel rails for fencing and barriers	45-70-70
45-70-70/370	Cast iron rails	45-70-70
45-70-70/375	Plastics rails	45-70-70
45-70-70/380	Precast concrete rails	45-70-70
45-70-70/390	Stainless steel rails	45-70-70
45-70-70/395	Carbon steel top rails for fencing and barriers	45-70-70
45-70-70/410	Aluminium alloy support rails	45-70-70
45-70-70/415	Carbon steel support rails	45-70-70
45-70-70/420	Stainless steel support rails	45-70-70
45-70-70/435	Protective frames	45-70-70
45-70-70/455	Metal hanging rails	45-70-70
45-70-70/460	Timber dowel hanging rails	45-70-70
45-70-70/465	Aluminium handrails	45-70-70
45-70-70/470	Wood handrails	45-70-70
45-70-70/475	Low carbon steel handrails	45-70-70
45-70-70/480	Stainless steel handrails	45-70-70
45-70-70/485	Manufactured stone handrails	45-70-70
45-75	Trim products	45
45-75-05	Beads and stops	45-75
45-75-05/310	Angle fillets	45-75-05
45-75-05/320	Bitumen impregnated fibreboard fillets	45-75-05
45-75-05/330	Dry lining beads	45-75-05
45-75-05/340	Plaster beads	45-75-05
45-75-05/350	Render beads	45-75-05
45-75-05/360	Thin coat plaster beads	45-75-05
45-75-25	Dividing and edge strips	45-75
45-75-25/330	Sealing strips for sawn joints in wearing screeds	45-75-25
45-75-25/340	Preformed strip joints to screeds	45-75-25
45-75-25/350	Metal angle edgings	45-75-25
45-75-25/370	Preformed strip joints to tiling	45-75-25
45-75-25/400	Timber edging	45-75-25
45-75-25/410	Plastics edgings	45-75-25
45-75-25/420	Metal edgings	45-75-25
45-75-30	Exterior trim	45-75
45-75-30/305	Timber procurement	45-75-30
45-75-30/310	GRP components - double skin	45-75-30
45-75-30/315	GRP components - single skin ribbed	45-75-30
45-75-30/320	Metal drip trims	45-75-30
45-75-30/325	Metal finishing trims	45-75-30
45-75-30/330	Plastics and composite material trim boards	45-75-30
45-75-30/335	PVC standing seam profiles	45-75-30
45-75-30/340	PVC-U finishing trims	45-75-30
45-75-30/345	Roof membrane perimeter trims	45-75-30
45-75-30/350	Stainless steel undersills	45-75-30
45-75-30/355	Wood finishing trims	45-75-30
45-75-30/360	Wood trim boards	45-75-30
45-75-35	Flashings and cover strips	45-75
45-75-35/310	Cover caps	45-75-35
45-75-35/330	Metal flashings	45-75-35
45-75-35/340	Bitumen-based flashings	45-75-35
45-75-35/350	GRP flashings and aprons	45-75-35
45-75-35/360	Polyethylene-based flashings and aprons	45-75-35
45-75-35/370	Recycled plastics flashings and aprons	45-75-35
45-75-40	Gaskets, weatherstrips and baffles	45-75
45-75-40/310	Neoprene baffles	45-75-40
45-75-40/320	Cellular rubber gaskets	45-75-40
45-75-40/330	EPDM rubber section glazing trims	45-75-40
45-75-40/340	Extruded PVC glazing gaskets	45-75-40
45-75-40/350	Glazing and panel gaskets for curtain walling	45-75-40
45-75-40/360	Neoprene gaskets for GRP cladding	45-75-40
45-75-40/370	Non-cellular rubber gaskets	45-75-40
45-75-40/380	Pre-formed butyl strip glazing trims	45-75-40
45-75-40/390	Single-sided glazing gaskets	45-75-40
45-75-40/400	Synthetic rubber glazing gaskets	45-75-40
45-75-40/410	Zipper gaskets	45-75-40
45-75-40/430	Door and window weatherstrips and seals	45-75-40
45-75-40/435	Door threshold weatherstrips and seals	45-75-40
45-75-40/440	Weatherstripping	45-75-40
45-75-42	Joint accessories for concrete construction	45-75
45-75-42/310	Carbon steel arris armouring	45-75-42
45-75-42/315	Stainless steel arris armouring	45-75-42
45-75-42/320	Bottom-of-slab plastics crack inducer	45-75-42
45-75-42/325	Carbon steel strip crack inducer	45-75-42
45-75-42/330	Plastics strip crack inducer	45-75-42
45-75-42/335	Shrinkage tube crack inducer	45-75-42
45-75-42/340	Stainless steel strip crack inducer	45-75-42
45-75-42/350	Centrally placed, PVC-U, flexible waterstop	45-75-42
45-75-42/355	Centrally placed, rubber, flexible waterstop	45-75-42
45-75-42/360	Centrally-placed, PVC elastomer, flexible waterstop	45-75-42
45-75-42/365	Injectable hose waterstop	45-75-42
45-75-42/370	Rubber hydrophilic waterstop	45-75-42
45-75-42/375	Surface mounted, PVC, flexible waterstop	45-75-42
45-75-42/380	Synthetic elastomer hydrophilic waterstop	45-75-42
45-75-42/385	Headed stud shear connectors	45-75-42
45-75-42/390	Carbon steel shear load connector	45-75-42
45-75-42/395	Stainless steel shear load connector	45-75-42
45-75-42/400	Carbon steel dowel bar	45-75-42
45-75-42/410	Plastics dowel sleeve	45-75-42
45-75-42/420	Plastics dowel bar cap	45-75-42
45-75-42/430	Stainless steel dowel bar	45-75-42
45-75-45	Lathing and furring	45-75
45-75-45/310	Damp-proof lathing	45-75-45
45-75-45/320	Expanded metal lathing	45-75-45
45-75-45/330	Metal arch form lathing	45-75-45
45-75-45/340	Wood lathing	45-75-45
45-75-45/350	Reed mats	45-75-45
45-75-45/380	Metal furring channels	45-75-45
45-75-45/390	Wood tapered firring pieces	45-75-45
45-75-50	Movement Joints	45-75
45-75-50/310	Cast-in movement joints for screeds	45-75-50
45-75-50/320	Construction and movement joints for insulated render systems	45-75-50
45-75-50/330	Fibre cement movement joints	45-75-50
45-75-50/340	Metal edging angles for movement joints	45-75-50
45-75-50/350	Metal section movement joints	45-75-50
45-75-50/360	Minor movement joints in flat roofing	45-75-50
45-75-50/370	Movement joints in mastic asphalt	45-75-50
45-75-50/380	Movement joints in wood flooring	45-75-50
45-75-50/390	Movement joints to sprayed monolithic coatings	45-75-50
45-75-50/400	PVC-U movement joints for external render or plaster	45-75-50
45-75-50/410	Strip movement joints	45-75-50
45-75-50/420	Strip movement joints for resin flooring	45-75-50
45-75-90	Tapes, strips and profile fillers	45-75
45-75-90/305	Acrylic adhesive fixing tape	45-75-90
45-75-90/310	Aluminium foil tape	45-75-90
45-75-90/315	Butyl rubber preformed strips	45-75-90
45-75-90/320	Butyl rubber sealant tape	45-75-90
45-75-90/325	Butyl rubber tape fleece	45-75-90
45-75-90/330	Butyl rubber adhesive tape	45-75-90
45-75-90/335	EPDM coated expanded polyethylene foam profile fillers	45-75-90
45-75-90/340	Expanded polyethylene foam profile fillers	45-75-90
45-75-90/345	Expanded polyethylene foam strip	45-75-90
45-75-90/350	Expanded polystyrene foam strip	45-75-90
45-75-90/355	Fire-resistant glazing tape	45-75-90
45-75-90/360	Glass fibre mesh repair tape	45-75-90
45-75-90/365	Heat-bonded carpet tape	45-75-90
45-75-90/370	Intumescent tape	45-75-90
45-75-90/375	Isolating tape	45-75-90
45-75-90/380	Metal strip reinforced paper tape	45-75-90
45-75-90/385	Mineral fibre joint fillers	45-75-90
45-75-90/390	Mineral fibre profile fillers	45-75-90
45-75-90/395	Non impregnated foam glazing tape	45-75-90
45-75-90/400	Paper jointing tape	45-75-90
45-75-90/405	Polyethylene debonding tape	45-75-90
45-75-90/410	Pre-formed butyl shim glazing tape	45-75-90
45-75-90/412	PTFE thread sealing tape	45-75-90
45-75-90/415	Retroreflective self adhesive tape	45-75-90
45-75-90/420	Self adhesive bitumen tape	45-75-90
45-75-90/425	Structural glazing tape	45-75-90
45-75-90/430	Synthetic closed cell foam rubber profile fillers	45-75-90
45-75-90/435	Synthetic rubber strip	45-75-90
45-75-90/440	Woven glass fibre fabric strips	45-75-90
45-75-95	Wall and ceiling trim	45-75
45-75-95/305	Cork cove skirtings	45-75-95
45-75-95/310	Medium density fibreboard (MDF) architraves	45-75-95
45-75-95/315	Medium density fibreboard (MDF) skirtings	45-75-95
45-75-95/320	Metal skirtings	45-75-95
45-75-95/325	Plastics skirtings	45-75-95
45-75-95/330	PVC cove skirtings	45-75-95
45-75-95/335	Rubber cove skirtings	45-75-95
45-75-95/340	Wood architraves	45-75-95
45-75-95/345	Wood skirtings	45-75-95
45-75-95/350	Medium density fibreboard (MDF) dado rail	45-75-95
45-75-95/355	Medium density fibreboard (MDF) picture rail	45-75-95
45-75-95/360	Wood dado rails	45-75-95
45-75-95/365	Wood mouldings and trims	45-75-95
45-75-95/370	Wood picture rails	45-75-95
45-75-95/375	Medium density fibreboard (MDF) lining board	45-75-95
45-75-95/380	Plastics linings	45-75-95
45-75-95/385	Wood lining board	45-75-95
45-75-95/390	Preformed casings	45-75-95
45-75-95/395	Wood mounting battens	45-75-95
45-75-95/400	Wood backboards	45-75-95
45-75-95/405	Ceiling perimeter trims	45-75-95
45-75-95/410	Cover strips	45-75-95
45-75-95/415	Wood fillets	45-75-95
45-75-95/420	Wood cover strips	45-75-95
45-75-95/425	Edge battens	45-75-95
45-75-95/430	Edge trims	45-75-95
45-75-95/435	Wood edge trims	45-75-95
45-75-95/440	Miscellaneous trims	45-75-95
45-75-95/445	Panel partition closer pieces	45-75-95
45-75-95/450	Lighting cornices	45-75-95
45-75-95/455	Fibrous plaster mouldings	45-75-95
45-75-95/460	Solid cast plaster mouldings	45-75-95
45-75-95/465	Wall protection panels	45-75-95
45-75-95/470	Wood protection rails	45-75-95
45-75-95/475	Column guards	45-75-95
45-75-95/480	Corner guards	45-75-95
45-75-95/485	Radiator guards	45-75-95
45-75-95/495	Procurement of wood and wood based products	45-75-95
45-80	Unit products	45
45-80-35	Glass blocks	45-80
45-80-35/310	Glass blocks	45-80-35
45-80-35/315	Glass block mortar joint spacers	45-80-35
45-80-35/320	Glass block dry joint spacers	45-80-35
45-80-35/325	Mortar jointed glass block wall panels	45-80-35
45-80-35/330	Mortar jointed and sealant pointed glass block wall panels	45-80-35
45-80-35/335	Sealant jointed glass block wall panels	45-80-35
45-80-35/340	Fire rated glass block wall panels	45-80-35
45-80-35/345	Glass block wall panels with proprietary jointing system	45-80-35
45-80-35/350	Bitumen rubber	45-80-35
45-80-40	Infill units	45-80
45-80-40/310	Cement bonded wood wool infill units	45-80-40
45-80-40/320	Metal tray infill units	45-80-40
45-80-40/330	Mineral fibre infill units	45-80-40
45-80-40/340	Open cell infill units	45-80-40
45-80-40/350	Panel diffusers infill units	45-80-40
45-80-40/360	Plastics faced gypsum plasterboard infill units	45-80-40
45-80-40/370	Resin bonded mineral wool infill units	45-80-40
45-80-40/380	Rigid urethane foam infill units	45-80-40
45-80-40/390	Veneered wood composite infill units	45-80-40
45-80-50	Masonry units	45-80
45-80-50/300	Aggregate concrete blocks	45-80-50
45-80-50/302	Aggregate concrete bricks	45-80-50
45-80-50/304	Autoclaved aerated concrete (AAC) blocks	45-80-50
45-80-50/306	Thin joint autoclaved aerated concrete (AAC) blocks	45-80-50
45-80-50/308	Calcium silicate bricks	45-80-50
45-80-50/310	Calcium silicate blocks	45-80-50
45-80-50/312	Cast stone - ashlar masonry	45-80-50
45-80-50/314	Clay blocks	45-80-50
45-80-50/316	Clay bricks	45-80-50
45-80-50/318	Gypsum blocks	45-80-50
45-80-50/320	Reclaimed clay bricks	45-80-50
45-80-50/321	Terracotta units	45-80-50
45-80-50/322	Manufactured stone blocks	45-80-50
45-80-50/324	Natural dimensioned stones	45-80-50
45-80-50/325	Natural dimensioned stones - replacement units	45-80-50
45-80-50/326	Natural rubble stones	45-80-50
45-80-50/327	Natural stone plugs	45-80-50
45-80-50/328	Salvaged natural stones	45-80-50
45-80-50/330	Special shape clay blocks	45-80-50
45-80-50/332	Special shape clay bricks	45-80-50
45-80-50/334	Special shape calcium silicate blocks	45-80-50
45-80-50/336	Special shape calcium silicate bricks	45-80-50
45-80-50/338	Special shape cast stone masonry units	45-80-50
45-80-50/340	Special shape aggregate concrete blocks	45-80-50
45-80-50/342	Special shape aggregate concrete bricks	45-80-50
45-80-50/344	Special shape autoclaved aerated concrete (AAC) blocks	45-80-50
45-80-50/346	Special shape thin joint autoclaved aerated concrete (AAC) blocks	45-80-50
45-80-50/348	Special shape manufactured stone masonry units	45-80-50
45-80-50/350	Special shape natural squared rubble stones	45-80-50
45-80-50/360	Aggregate concrete infill blocks	45-80-50
45-80-50/362	Autoclaved aerated concrete (AAC) infill blocks	45-80-50
45-80-50/364	Clay infill blocks	45-80-50
45-80-50/370	Airbricks	45-80-50
45-80-50/374	Clay chimney pots	45-80-50
45-80-50/376	Clay flue liner terminals	45-80-50
45-80-50/378	Fireplace firebacks for inset open fires	45-80-50
45-80-50/380	Fireplace surrounds and hearths for inset open fires	45-80-50
45-80-50/382	Fireplace throat forming lintels and corbel units for inset open fires	45-80-50
45-80-50/384	Perpend joint plastics weep holes	45-80-50
45-80-50/386	Perpend joint plastics cavity ventilators	45-80-50
45-80-50/388	Plastics cavity closers	45-80-50
45-80-50/390	Tile creasings	45-80-50
45-80-50/392	Transmitted noise reduction system	45-80-50
45-80-50/394	Ventilation ducts	45-80-50
45-80-50/396	Ventilation gratings	45-80-50
45-80-50/400	Aggregate concrete trough lintels	45-80-50
45-80-50/402	Clay block trough lintels	45-80-50
45-80-50/404	Precast concrete lintels	45-80-50
45-80-50/406	Prefabricated steel lintels	45-80-50
45-80-50/408	Prestressed concrete lintels	45-80-50
45-80-50/410	Manufactured stone lintels	45-80-50
45-80-50/412	Natural stone lintels	45-80-50
45-80-90	Tiles, slates, shingles and shakes	45-80
45-80-90/310	Bitumen membrane shingles	45-80-90
45-80-90/312	Bitumen membrane shingles capping	45-80-90
45-80-90/315	Ceramic slates	45-80-90
45-80-90/320	Clay tiles coursing fittings	45-80-90
45-80-90/322	Clay tiles hip fittings	45-80-90
45-80-90/324	Clay tiles interlocking	45-80-90
45-80-90/326	Clay tiles ornamental fittings	45-80-90
45-80-90/328	Clay tiles plain	45-80-90
45-80-90/330	Clay tiles ridge fittings	45-80-90
45-80-90/332	Clay tiles roof slope ventilation fittings	45-80-90
45-80-90/334	Clay tiles valley fittings	45-80-90
45-80-90/336	Clay tiles verge fittings	45-80-90
45-80-90/338	Clay tiles vertical tiling angle fittings	45-80-90
45-80-90/340	Concrete tiles coursing fittings	45-80-90
45-80-90/342	Concrete tiles hip fittings	45-80-90
45-80-90/344	Concrete tiles interlocking	45-80-90
45-80-90/346	Concrete tiles ornamental fittings	45-80-90
45-80-90/348	Concrete tiles plain	45-80-90
45-80-90/350	Concrete tiles ridge fittings	45-80-90
45-80-90/352	Concrete tiles roof slope ventilation fittings	45-80-90
45-80-90/354	Concrete tiles valley fittings	45-80-90
45-80-90/356	Concrete tiles verge fittings	45-80-90
45-80-90/358	Concrete tiles vertical tiling angle fittings	45-80-90
45-80-90/360	Fibre cement slates	45-80-90
45-80-90/362	Fibre cement slates coursing fittings	45-80-90
45-80-90/364	Fibre cement slates hip fittings	45-80-90
45-80-90/366	Fibre cement slates ridge fittings	45-80-90
45-80-90/368	Fibre cement slates roof slope ventilation fittings	45-80-90
45-80-90/370	Fibre cement slates verge fittings	45-80-90
45-80-90/372	Dry fixing abutments	45-80-90
45-80-90/374	Dry fixing hips	45-80-90
45-80-90/376	Dry fixing ridges	45-80-90
45-80-90/378	Dry fixing verges	45-80-90
45-80-90/380	Metal tiles	45-80-90
45-80-90/382	Metal tiles hip fittings	45-80-90
45-80-90/384	Metal tiles ridge fittings	45-80-90
45-80-90/386	Metal tiles verge fittings	45-80-90
45-80-90/388	Reconstituted slates coursing fittings	45-80-90
45-80-90/390	Reconstituted slates interlocking	45-80-90
45-80-90/392	Reconstituted slates roof slope ventilation fittings	45-80-90
45-80-90/394	Natural slates	45-80-90
45-80-90/396	Natural slates coursing fittings	45-80-90
45-80-90/400	Natural stone slates	45-80-90
45-80-90/410	Wood shakes	45-80-90
45-80-90/412	Wood shakes fittings	45-80-90
45-80-90/414	Wood shingles	45-80-90
45-80-90/416	Wood shingles fittings	45-80-90
45-80-90/418	Wood shingles pattern fittings	45-80-90
45-80-90/445	Dentil slips	45-80-90
45-80-90/460	Tile creasing	45-80-90
45-80-95	Wall and floor tiles (ceramic, terrazzo, mosaic etc)	45-80
45-80-95/305	Cast stone tiles or slabs	45-80-95
45-80-95/310	Ceramic tiles	45-80-95
