
B	COMPLETE BUILDINGS/ STRUCTURES/ UNITS
P21/130	APPROVED SUPPLIERS	P21
P21/140	SAMPLES	P21
P21/141	SAMPLE BOARDS	P21
P21/170	IRONMONGERY FOR FIRE DOORS	P21
P21/180	CATEGORY OF DUTY FOR DOOR IRONMONGERY	P21
P21/310	SINGLE AXIS DOOR HINGES	P21
P21/315	PERFORMANCE SPECIFICATION FOR SINGLE AXIS DOOR HINGES	P21
P21/320	DOOR HINGES	P21
P21/350	DOOR TRACK AND RUNNING GEAR	P21
P21/360	PERFORMANCE SPECIFICATION FOR DOOR TRACK AND RUNNING GEAR	P21
P21/365	SINGLE AXIS WINDOW HINGES	P21
P21/370	WINDOW HINGES	P21
P21/380	SLIDING FRICTION STAY HINGES	P21
P21/385	PIVOT HINGES	P21
P21/390	SPIRAL SASH BALANCES	P21
P21/395	BOXED SASH HANGING FITTINGS	P21
P21/410	OVERHEAD DOOR CLOSERS	P21
P21/412	PERFORMANCE SPECIFICATION FOR OVERHEAD DOOR CLOSERS	P21
P21/450	FLOOR SPRINGS	P21
P21/452	PERFORMANCE SPECIFICATION FOR FLOOR SPRINGS	P21
P21/471	ELECTROMAGNETIC HOLD OPEN/ SWING-FREE DEVICES (24 V)	P21
P21/472	PERFORMANCE SPECIFICATION FOR ELECTROMAGNETIC HOLD OPEN/ SWING-FREE DEVICES (24 V)	P21
P21/481	DOOR COORDINATORS	P21
P21/482	PERFORMANCE SPECIFICATION FOR DOOR COORDINATORS	P21
P21/490	UNCONTROLLED DOOR CLOSERS	P21
P21/510	THIEF RESISTANT DOOR LOCKS	P21
P21/515	DOOR LOCKS	P21
P21/525	PERFORMANCE SPECIFICATION FOR DOOR LOCKS AND LATCHES	P21
P21/530	SPECIAL FUNCTION DOOR LOCKS	P21
P21/540	DOOR LATCHES	P21
P21/565	PADLOCKS	P21
P21/566	PERFORMANCE SPECIFICATION FOR PADLOCKS	P21
P21/571	EMERGENCY EXIT DEVICES	P21
P21/572	PERFORMANCE SPECIFICATION FOR EMERGENCY EXIT DEVICES	P21
P21/577	PANIC EXIT DEVICES	P21
P21/578	PERFORMANCE SPECIFICATION FOR PANIC EXIT DEVICES	P21
P21/582	DOOR BOLTS	P21
P21/584	PERFORMANCE SPECIFICATION FOR DOOR BOLTS	P21
P21/586	PRIVACY INDICATOR BOLTS	P21
P21/590	WINDOW ESPAGNOLETTE BOLTS	P21
P21/592	SASH FASTENERS	P21
P21/593	SASH SCREWS	P21
P21/594	FANLIGHT CATCHES	P21
P21/596	CASEMENT/ SASH MORTICE BOLTS	P21
P21/610	LEVER HANDLES	P21
P21/620	DOOR KNOBS	P21
P21/622	PERFORMANCE SPECIFICATION FOR LEVER HANDLE SETS	P21
P21/625	PERFORMANCE SPECIFICATION FOR KNOBSETS	P21
P21/641	PULL HANDLES	P21
P21/651	PERFORMANCE SPECIFICATION FOR PULL HANDLES	P21
P21/670	PUSH PLATES	P21
P21/680	MIDRAIL PLATES	P21
P21/690	KICK PLATES	P21
P21/710	ESCUTCHEONS	P21
P21/720	DOOR STOPS	P21
P21/730	LETTER PLATES	P21
P21/731	PERFORMANCE SPECIFICATION FOR LETTER PLATES	P21
P21/735	INTERNAL LETTER FLAPS	P21
P21/750	LIMITING DOOR STAYS	P21
P21/760	DOOR HOLDERS	P21
P21/770	PADLOCK HASP AND STAPLE	P21
P21/811	DOOR MOUNTED COAT HOOKS	P21
P21/850	THRESHOLD WEATHERSTRIP	P21
P21/855	WEATHERSTRIP TO DOOR HEAD AND JAMBS	P21
P21/860	SEALS FOR	P21
P21/890	DOOR VIEWERS	P21
P21/895	DOOR MOUNTED AIR TRANSFER GRILLES	P21
P21/896	DOOR MOUNTED FIRE RESISTING AIR TRANSFER GRILLES	P21
P21/897	DOOR MOUNTED FIRE RESISTING AIR TRANSFER GRILLES WITH SMOKE SHUTTER	P21
P21/900	CASEMENT HANDLES	P21
P21/905	CASEMENT STAYS	P21
P21/910	WINDOW LEVER HANDLES	P21
P21/925	OVER CENTRE CASEMENT STAYS	P21
P21/930	FRICTION RESTRICTOR CASEMENT STAYS	P21
P21/935	REMOTE WINDOW OPENERS	P21
P21/940	SASH LIFT HANDLES	P21
P21/950	SASH EYES	P21
P21/960	WEATHERSTRIP TO WINDOWS	P21
P30	TRENCHES, PIPEWAYS AND PITS FOR BURIED ENGINEERING SERVICES	P
P30/140	BURIED ENGINEERING SERVICES SYSTEMS	P30
P30/150	ACCESS AND INSPECTION CHAMBER SYSTEMS	P30
P30/210	DESIGN	P30
P30/301	ACCESS COVERS/ MANHOLE TOPS AND FRAMES	P30
P30/305	PROPRIETARY ACCESS AND INSPECTION CHAMBERS	P30
P30/320	PIPEDUCTS	P30
P30/335	SMALL SURFACE BOXES	P30
P30/340	SMALL SURFACE ACCESS POINTS	P30
P30/345	LARGE SURFACE BOXES TO BS 5834-2	P30
P30/350	LARGE SURFACE BOXES AND ACCESS COVERS TO BS EN 124	P30
P30/355	LARGE SURFACE BOXES FOR FIRE HYDRANTS TO BS 750 OR BS 5834-2	P30
P30/411	SELECTED AS-DUG MATERIAL	P30
P30/412	GRANULAR MATERIAL	P30
P30/415	CONCRETE - PRECAST	P30
P30/440	MORTAR BEDDING	P30
P30/470	FOAMED CONCRETE FOR BACKFILLING	P30
P30/475	DRAWLINES	P30
P30/480	WARNING MARKER TAPES	P30
P30/490	WARNING MARKER TILES	P30
P30/495	WARNING MARKER BOARDS	P30
P30/610	ROUTES OF SERVICES BELOW GROUND	P30
P30/620	EXISTING ROADS AND PAVINGS	P30
P30/625	TRENCHES	P30
P30/630	CUTTING TREE ROOTS IN SERVICE TRENCHES	P30
P30/640	LAYING PIPEDUCTS	P30
P30/645	PIPEDUCT BEDDING AND SURROUND - SELECTED AS-DUG MATERIAL	P30
P30/650	PIPEDUCT BEDDING AND SURROUND - GRANULAR MATERIAL	P30
P30/655	CONCRETE SURROUND FOR PIPEDUCTS	P30
P30/660	CONCRETE SURROUND FOR SHALLOW PIPEDUCTS UNDER BUILDINGS	P30
P30/665	PIPEDUCT RUNS NEAR FOUNDATIONS	P30
P30/668	INSTALLING PROPRIETARY ACCESS AND INSPECTION CHAMBERS AND SURFACE BOXES	P30
P30/670	BEDDING OF FRAMES FOR ACCESS COVERS AND SURFACE BOXES	P30
P30/675	BACKFILLING GENERALLY	P30
P30/680	BACKFILLING UNDER ROADS AND PAVINGS	P30
P30/700	BACKFILLING WITH FOAMED CONCRETE	P30
P30/710	TEMPORARY BRIDGES	P30
P30/720	WARNING MARKER BOARDS, TAPES AND TILES	P30
P30/750	ADDITIONAL REQUIREMENTS FOR WATER AND GAS MAINS	P30
P30/910	INSPECTION	P30
P30/920	TESTING	P30
P30/930	DOCUMENTATION	P30
P31	HOLES, CHASES, COVERS AND SUPPORTS FOR SERVICES	P
P31/300	FLOOR DUCTING/ TRUNKING	P31
P31/370	ACCESS COVERS/ GRATINGS FOR	P31
P31/400	METER CABINETS	P31
P31/610	COORDINATION	P31
P31/620	HOLES AND CHASES IN SITU CONCRETE	P31
P31/630	HOLES AND CHASES IN PRECAST CONCRETE	P31
P31/640	HOLES IN STRUCTURAL STEELWORK	P31
P31/650	HOLES, RECESSES AND CHASES IN MASONRY	P31
P31/660	PREFORMED HOLES IN MASONRY	P31
P31/670	NOTCHES AND HOLES IN STRUCTURAL TIMBER	P31
P31/680	FIXING FLOOR DUCTING/ TRUNKING	P31
P31/690	INSTALLING PIPE SLEEVES	P31
P31/710	SEALING	P31
P31/730	INSTALLING ACCESS COVERS/ GRATINGS AND FRAMES	P31
P31/740	INSTALLING METER CABINETS	P31
P32	SERVICES PAINTING SYSTEMS	P
P32/110	WALL COATING	P32
P32/120	FLOOR, BUND AND PLINTH COATING	P32
P32/130	METAL SURFACE COATING	P32
P32/210	DESIGN	P32
P32/220	DESIGN LIFE	P32
P32/310	COATING RANGE	P32
P32/312	SEALANT, WATER BASED ACRYLIC	P32
P32/315	UNDERCOAT, THINNED WATER BASED	P32
P32/320	BASECOAT	P32
P32/330	PRIMER	P32
P32/340	BITUMEN BASED COATING	P32
P32/350	WATER BASED FINISHING COAT	P32
P32/370	SOLVENT BASED FINISHING COAT	P32
P32/380	TAR BASED BLACK PAINT	P32
P32/610	PREPARATION GENERALLY	P32
P32/635	SERVICE EQUIPMENT, FIXTURES AND FITTINGS	P32
P32/645	PREPARING PREVIOUSLY COATED SURFACES	P32
P32/655	PREPARING PREVIOUSLY COATED STEEL	P32
P32/665	PREPARING UNCOATED STEEL - MANUAL CLEANING	P32
P32/680	PREPARING UNCOATED ALUMINIUM OR COPPER OR LEAD	P32
P32/705	PREPARING UNCOATED MASONRY AND/ OR RENDERING	P32
P32/710	PREPARING UNCOATED PLASTER	P32
P32/715	PREPARING UNCOATED PLASTERBOARD	P32
P32/730	PREPARING AND DEALING WITH ORGANIC GROWTHS	P32
P32/740	PREPARING AND APPLYING SEALANTS	P32
P32/760	APPLYING COATINGS GENERALLY	P32
P32/770	COATING CONCEALED METAL SURFACES	P32
P32/910	REMOVED ITEMS	P32
P32/920	DOCUMENTATION	P32
P32/930	SPARES AND CONSUMABLES	P32
P33	PLINTHS AND BUND SYSTEMS	P
P33/110	PLINTH SYSTEM	P33
P33/140	BUND SYSTEM	P33
P33/210	DESIGN	P33
P33/230	BUNDS PERFORMANCE	P33
P33/240	PERMISSIBLE SERVICE LOADS	P33
P33/250	EXCEPTIONAL LOADS	P33
P33/310	BLOCK MASONRY	P33
P33/320	BRICK MASONRY	P33
P33/330	CONCRETE - PRE-CAST PANELS	P33
P33/340	CONCRETE - READY-MIX	P33
P33/350	GRP PROFILED PANELS	P33
P33/360	PRESSED STEEL PANELS	P33
P33/370	STEEL - LARGE SECTIONS	P33
P33/380	STEEL - LIGHT SECTIONS	P33
P33/390	CONCRETE REINFORCEMENT	P33
P33/400	DAMP-PROOF COURSES	P33
P33/410	MASONRY BED JOINT REINFORCEMENT	P33
P33/420	MASONRY REINFORCEMENT - VERTICAL	P33
P33/430	READY-MIX MASONRY MORTAR	P33
P33/440	SITE MIX MASONRY MORTAR	P33
P33/450	PRESSED STEEL CAPPINGS	P33
P33/460	RENDER COATINGS	P33
P33/470	INSULATION	P33
P33/480	RENDER STOPS	P33
P33/510	PREFABRICATED FRAMES	P33
P33/630	MASONRY	P33
P33/670	MIXING SITE MIX MASONRY MORTAR	P33
P33/680	PLACING REINFORCEMENT	P33
P33/685	CONSTRUCTING FORMWORK	P33
P33/690	CONCRETING	P33
P33/700	RENDERING	P33
P33/740	EXECUTION OF STEELWORK	P33
P33/910	CLEANING BUND	P33
P33/920	BUND TESTING	P33
P33/930	INSPECTION	P33
P33/940	DOCUMENTATION	P33
Q	PAVING/PLANTING/FENCING/SITE FURNITURE
Q05	BIODIVERSITY AND ENVIRONMENTAL CONSERVATION	Q
Q05/110	HABITAT CREATION	Q05
Q05/120	HABITAT MANAGEMENT AND ENHANCEMENT	Q05
Q05/130	HABITAT PROTECTION	Q05
Q05/140	SPECIES INTRODUCTION	Q05
Q05/150	SPECIES PROTECTION	Q05
Q05/220	HABITAT PROTECTION	Q05
Q05/230	UK BIODIVERSITY ACTION PLAN (UK BAP) HABITATS	Q05
Q05/240	SPECIES PROTECTION	Q05
Q05/250	UK BIODIVERSITY ACTION PLAN (UK BAP) PRIORITY SPECIES	Q05
Q05/260	BREEDING SITES	Q05
Q05/310	SOURCE OF LIVING MATERIAL	Q05
Q05/610	TIMING OF OPERATIONS ON-SITE	Q05
Q05/910	ECOLOGICAL MONITORING SURVEY	Q05
Q05/920	INVASIVE SPECIES MONITORING SURVEY	Q05
Q05/930	REPORTS GENERALLY	Q05
Q05/940	ECOLOGICAL SURVEY REPORT	Q05
Q05/950	INVASIVE SPECIES SURVEY REPORT	Q05
Q05/960	ENVIRONMENTAL MANAGEMENT PLANS	Q05
Q10	KERBS/ EDGINGS/ CHANNELS/ PAVING ACCESSORIES	Q
Q10/110	PROPRIETARY PRECAST CONCRETE	Q10
Q10/112	PRECAST CONCRETE	Q10
Q10/115	PRECAST CONCRETE SAFETY KERBS	Q10
Q10/120	STONE	Q10
Q10/125	RECLAIMED STONE	Q10
Q10/130	CLAY BRICK	Q10
Q10/150	CONCRETE BLOCK	Q10
Q10/170	LINEAR SLOT DRAINAGE CHANNEL SYSTEMS	Q10
Q10/180	DRAINAGE CHANNEL SYSTEMS WITH GRATINGS	Q10
Q10/185	FILTRATION DRAINAGE CHANNELS	Q10
Q10/190	CARRIAGEWAY KERB AND DRAINAGE CHANNEL SYSTEMS	Q10
Q10/200	SPECIAL	Q10
Q10/250	MATERIAL SAMPLES	Q10
Q10/305	TREE GRILLES	Q10
Q10/310	CATTLE GRIDS	Q10
Q10/312	FOOTWAY GRATINGS	Q10
Q10/315	TRAFFIC CALMING HUMPS	Q10
Q10/325	TRAFFIC CALMING SPEED CUSHIONS	Q10
Q10/390	ROAD MARKING (LIGHT DUTY)	Q10
Q10/395	ROAD MARKING (THERMOPLASTIC)	Q10
Q10/400	RETROREFLECTING ROAD STUDS	Q10
Q10/410	APPLIED SLIP RESISTANT	Q10
Q10/510	LAYING KERBS, EDGINGS AND CHANNELS	Q10
Q10/520	ADVERSE WEATHER	Q10
Q10/530	CONCRETE FOR FOUNDATIONS, RACES AND HAUNCHING	Q10
Q10/540	CEMENT MORTAR BEDDING	Q10
Q10/543	LIME MORTAR BEDDING	Q10
Q10/545	PROPRIETARY BEDDING	Q10
Q10/547	BEDDING/BACKING OF UNITS ON FRESH CONCRETE RACES	Q10
Q10/550	KERB DOWELS	Q10
Q10/560	HAUNCHING DOWELS	Q10
Q10/570	CHANNELS	Q10
Q10/580	DRAINAGE CHANNEL SYSTEMS	Q10
Q10/590	DRAINAGE CHANNEL SYSTEMS WITH BUILT IN FALL	Q10
Q10/600	RADIUS KERBS/CHANNELS	Q10
Q10/610	ANGLE KERBS	Q10
Q10/620	ACCURACY	Q10
Q10/625	REGULARITY OF PAVED SURFACES	Q10
Q10/630	NARROW MORTAR JOINTS	Q10
Q10/640	TOOLED MORTAR JOINTS	Q10
Q10/641	TOOLED COLOURED MORTAR JOINTS	Q10
Q10/650	SEALANT MOVEMENT JOINTS	Q10
Q20	GRANULAR SUB-BASES TO ROADS/ PAVINGS	Q
Q20/110	THICKNESSES OF SUB-BASE/ SUBGRADE IMPROVEMENT LAYERS	Q20
Q20/120	CHECKING OF SUBGRADES	Q20
Q20/130	HERBICIDES	Q20
Q20/140	EXCAVATION OF SUBGRADES	Q20
Q20/145	PREPARATION AND COMPACTION OF SUBGRADES	Q20
Q20/150	SUBGRADES FOR VEHICULAR AREAS	Q20
Q20/170	GEOTEXTILE FILTER/ SEPARATOR MEMBRANE	Q20
Q20/175	IMPERMEABLE MEMBRANE	Q20
Q20/180	NOTICE	Q20
Q20/200	SUBGRADE IMPROVEMENT LAYER (CAPPING)	Q20
Q20/205	HIGHWAYS AGENCY TYPE 2 UNBOUND MIXTURE FOR SUB-BASE	Q20
Q20/210	HIGHWAYS AGENCY TYPE 1 UNBOUND MIXTURE FOR SUB-BASE	Q20
Q20/211	GRANULAR MATERIAL	Q20
Q20/213	BLINDING PROTECTION FOR MEMBRANES	Q20
Q20/215	COARSE GRADED AGGREGATE FOR PERMEABLE PAVING	Q20
Q20/217	ADDITIONAL REQUIREMENTS FOR HYDRAULICALLY BOUND COARSE GRADED AGGREGATE FOR PERMEABLE PAVING	Q20
Q20/220	FROST SUSCEPTIBLE GRANULAR MATERIAL	Q20
Q20/225	PLACING OF MATERIAL WITH HIGH SULFATE CONTENT	Q20
Q20/230	PLACING GRANULAR MATERIAL GENERALLY	Q20
Q20/240	LAYING GRANULAR SUB-BASES FOR VEHICULAR AREAS	Q20
Q20/241	LAYING GRANULAR SUB-BASES FOR VEHICULAR AREAS	Q20
Q20/250	LAYING GRANULAR SUB-BASES	Q20
Q20/310	ACCURACY	Q20
Q20/315	ACCURACY FOR SUB-BASES TO SPORTS SURFACING	Q20
Q20/320	SURFACES TO RECEIVE SAND BEDDING FOR PAVING	Q20
Q20/330	COLD WEATHER WORKING	Q20
Q20/340	PROTECTION	Q20
Q21	IN SITU CONCRETE ROADS/ PAVINGS/ BASES	Q
Q21/110	UNREINFORCED PAVING (DESIGNATED CONCRETE)	Q21
Q21/115	PAVING WITH EMBEDDED METAL (DESIGNATED CONCRETE)	Q21
Q21/117	UNREINFORCED PAVING (DESIGNED CONCRETE)	Q21
Q21/118	PAVING WITH EMBEDDED METAL (DESIGNED CONCRETE)	Q21
Q21/120	SITE MIXED UNREINFORCED CONCRETE PAVING	Q21
Q21/125	IN SITU CONCRETE AND GRASS PAVING SYSTEM	Q21
Q21/130	HARD LANDSCAPING MATERIALS SPECIFICATION	Q21
Q21/140	READY-MIXED CONCRETE	Q21
Q21/141	SITE MIXED CONCRETE	Q21
Q21/142	RECYCLED AGGREGATE	Q21
Q21/145	ADMIXTURES	Q21
Q21/150	REINFORCEMENT	Q21
Q21/152	PROPRIETARY STEEL FIBRES	Q21
Q21/153	STEEL FIBRES	Q21
Q21/154	POLYMER FIBRES	Q21
Q21/155	PROJECT TESTING OF CONCRETE - GENERAL	Q21
Q21/160	INITIAL PROJECT TESTING OF CONCRETE	Q21
Q21/165	REGULAR PROJECT TESTING OF CONCRETE	Q21
Q21/240	SUB-BASE PREPARATION	Q21
Q21/250	LAYING FABRIC REINFORCEMENT	Q21
Q21/260	STEEL FORMWORK	Q21
Q21/265	TIMBER PERMANENT FORMWORK	Q21
Q21/310	TRANSPORTING CONCRETE	Q21
Q21/320	LAYING CONCRETE GENERALLY	Q21
Q21/330	COMPACTING	Q21
Q21/340	MANHOLE COVER AND GULLY GRATING FRAMES	Q21
Q21/350	LEVELS	Q21
Q21/360	SURFACE REGULARITY	Q21
Q21/370	ACCURACY FOR BASES BENEATH SPORTS SURFACING	Q21
Q21/380	QUALITY CONTROL	Q21
Q21/410	JOINTS GENERALLY	Q21
Q21/420	TIE BARS	Q21
Q21/430	DOWEL BARS	Q21
Q21/440	LONGITUDINAL CONSTRUCTION JOINTS	Q21
Q21/450	CONTRACTION JOINTS WITH SAWN GROOVE	Q21
Q21/460	CONTRACTION JOINTS WITH WET FORMED GROOVE	Q21
Q21/470	EXPANSION JOINTS	Q21
Q21/510	SAMPLE AREA	Q21
Q21/515	EXISTING SAMPLE AREA	Q21
Q21/520	TAMPED FINISH	Q21
Q21/530	BRUSHED FINISH	Q21
Q21/540	SMOOTH FLOATED FINISH	Q21
Q21/550	POWER TROWEL FINISH	Q21
Q21/560	IMPRINTED PATTERN FINISH	Q21
Q21/570	WASH AND BRUSH FINISH	Q21
Q21/580	POWER GROUND FINISH	Q21
Q21/590	ABRASIVE BLASTED FINISH	Q21
Q21/610	CURING	Q21
Q21/615	CURING PERIODS	Q21
Q21/620	CHEMICAL STAINING	Q21
Q21/630	SURFACE SEALER	Q21
Q21/640	HOT JOINT SEALING	Q21
Q21/650	COLD JOINT SEALING	Q21
Q21/660	PROTECTION	Q21
Q21/670	OPENING TO TRAFFIC	Q21
Q22	ASPHALT ROADS/ PAVINGS	Q
Q22/110	ASPHALT CONCRETE PAVING	Q22
Q22/115	ASPHALT CONCRETE PAVING	Q22
Q22/127	PERMEABLE ASPHALT CONCRETE PAVING	Q22
Q22/140	HOT ROLLED ASPHALT PAVING	Q22
Q22/150	LIGHT DUTY MASTIC ASPHALT PAVING	Q22
Q22/154	HOT ROLLED ASPHALT PAVING	Q22
Q22/160	STONE MASTIC ASPHALT PAVING	Q22
Q22/170	PROPRIETARY VEHICULAR PAVING	Q22
Q22/175	PROPRIETARY PEDESTRIAN PAVING	Q22
Q22/180	SURFACE TREATMENT TO EXISTING PAVING	Q22
Q22/185	PROPRIETARY SURFACE TREATMENT TO EXISTING PAVING	Q22
Q22/190	APPLIED SLIP RESISTANT	Q22
Q22/195	HARD LANDSCAPING MATERIALS SPECIFICATION	Q22
Q22/210	TIMBER EDGING	Q22
Q22/220	BITUMINOUS MATERIALS GENERALLY	Q22
Q22/230	SAMPLES	Q22
Q22/240	ACCEPTANCE OF SURFACES	Q22
Q22/250	ABUTMENTS	Q22
Q22/310	LAYING GENERALLY	Q22
Q22/320	ADVERSE  WEATHER	Q22
Q22/330	LEVELS	Q22
Q22/340	FLATNESS/ SURFACE REGULARITY	Q22
Q22/345	ACCURACY FOR BASES BENEATH SPORTS SURFACING	Q22
Q22/350	CONTRACTOR'S USE OF PAVEMENTS	Q22
Q22/351	CONTRACTOR'S USE OF PAVEMENTS	Q22
Q22/360	UNCOATED CHIPPINGS FOR SURFACE TREATMENT	Q22
Q22/365	PROPRIETARY SURFACE TREATMENT	Q22
Q22/370	COATED CHIPPINGS	Q22
Q22/390	DOCUMENTATION	Q22
Q23	GRAVEL/ HOGGIN/ WOODCHIP/ RESIN BOUND ROADS/ PAVINGS/ OVERLAYS	Q
Q23/110	HARD BINDING GRAVEL	Q23
Q23/120	BLINDED GRAVEL	Q23
Q23/130	FINE HOGGIN	Q23
Q23/140	SURFACING FOR CYCLE TRACKS	Q23
Q23/150	LOOSE LAID CHIPPINGS	Q23
Q23/160	LOOSE GRAVEL	Q23
Q23/170	LOOSE GRAVEL OVERLAY	Q23
Q23/180	BONDED CHIPPINGS FOR VEHICULAR AREAS	Q23
Q23/190	BONDED CHIPPINGS FOR PEDESTRIAN AREAS	Q23
Q23/220	TWO COAT PROPRIETARY FIBRE REINFORCED BONDED CHIPPINGS	Q23
Q23/221	PROPRIETARY FIBRE REINFORCED BONDED CHIPPINGS OVERLAY	Q23
Q23/225	PROPRIETARY RESIN BONDED CHIPPINGS	Q23
Q23/226	PROPRIETARY RESIN BONDED CHIPPINGS OVERLAY	Q23
Q23/227	PROPRIETARY SLURRY SURFACING OVERLAY	Q23
Q23/230	WOODCHIP SURFACES	Q23
Q23/235	WOODFIBRE SURFACES	Q23
Q23/240	WOODCHIP AND STONE TRIM TRAILS	Q23
Q23/250	MULTI-PURPOSE EQUESTRIAN SURFACING	Q23
Q23/260	SAFETY EQUESTRIAN SURFACING	Q23
Q23/270	HARD LANDSCAPING MATERIALS SPECIFICATION	Q23
Q23/310	TIMBER EDGING	Q23
Q23/315	MATERIALS	Q23
Q23/320	SAMPLES	Q23
Q23/325	BLINDING TO SUB-BASE	Q23
Q23/330	HERBICIDE TO PAVING Q23/	Q23
Q23/340	LAYING GENERALLY	Q23
Q23/350	COLD WEATHER WORKING	Q23
Q23/360	DRAINAGE FALLS	Q23
Q23/370	LAYING GRANULAR SURFACES IN VEHICULAR AREAS	Q23
Q23/380	LAYING GRANULAR SURFACES IN PEDESTRIAN AREAS	Q23
Q23/390	PROTECTION FROM TRAFFIC AND PLANT	Q23
Q24	INTERLOCKING BRICK/ BLOCK ROADS/ PAVINGS	Q
Q24/110	CONVENTIONAL CONCRETE BLOCK PAVING	Q24
Q24/112	CONVENTIONAL CONCRETE BLOCK PAVING WITH BOUND BASE	Q24
Q24/113	CONVENTIONAL CONCRETE BLOCK PAVING OVERLAY	Q24
Q24/115	PERMEABLE CONCRETE BLOCK PAVING - TOTAL INFILTRATION	Q24
Q24/117	PERMEABLE CONCRETE BLOCK PAVING - PARTIAL INFILTRATION	Q24
Q24/119	PERMEABLE CONCRETE BLOCK PAVING - NO INFILTRATION	Q24
Q24/120	CONVENTIONAL CLAY PAVER PAVING	Q24
Q24/122	CONVENTIONAL CLAY PAVER PAVING WITH BOUND BASE	Q24
Q24/123	CONVENTIONAL CLAY PAVER PAVING OVERLAY	Q24
Q24/124	PERMEABLE CLAY PAVER PAVING - TOTAL INFILTRATION	Q24
Q24/126	PERMEABLE CLAY PAVER PAVING - PARTIAL INFILTRATION	Q24
Q24/128	PERMEABLE CLAY PAVER PAVING - NO INFILTRATION	Q24
Q24/130	NATURAL STONE SETT PAVING	Q24
Q24/132	NATURAL STONE SETT PAVING WITH BOUND BASE	Q24
Q24/133	NATURAL STONE SETT PAVING OVERLAY	Q24
Q24/150	APPLIED SLIP RESISTANT	Q24
Q24/160	HARD LANDSCAPING MATERIALS SPECIFICATION	Q24
Q24/200	EXECUTION GENERALLY - CONCRETE BLOCK AND CLAY PAVER PAVING	Q24
Q24/205	EXECUTION GENERALLY - NATURAL STONE PAVING	Q24
Q24/211	COLOUR BANDING	Q24
Q24/220	SAMPLES	Q24
Q24/230	CONTROL SAMPLES	Q24
Q24/240	ADVERSE WEATHER	Q24
Q24/325	DRAINAGE HOLES IN EXISTING BASES	Q24
Q24/335	PLANING AND REPAIRS TO EXISTING BASES	Q24
Q24/350	GRANULAR LAYER OVER EXISTING BASES	Q24
Q24/385	MORTAR BEDDED	Q24
Q24/420	TOOLED JOINTS IN MORTAR BEDDED UNITS	Q24
Q24/425	TOOLED COLOURED JOINTS IN MORTAR BEDDED UNITS	Q24
Q24/430	SEALANT MOVEMENT JOINTS IN MORTAR BEDDED UNITS	Q24
Q24/440	LAYING GEOTEXTILE EDGING STRIP FOR CONVENTIONAL PAVING	Q24
Q24/445	LAYING GEOTEXTILE PATCHES OVER DRAINAGE HOLES FOR CONVENTIONAL PAVING	Q24
Q24/450	LAYING GEOTEXTILE SHEET FOR CONVENTIONAL PAVING	Q24
Q24/451	LAYING GEOTEXTILE SHEET FOR PERMEABLE PAVING	Q24
Q24/452	PREPARED EXISTING AND NEW BOUND BASES (ROADBASES)	Q24
Q24/485	LAYING BLOCKS/ PAVERS/ SETTS	Q24
Q24/490	LAYING PERMEABLE PAVING	Q24
Q24/495	IN SITU SURROUNDS TO OBSTRUCTIONS	Q24
Q24/500	REGULARITY OF PAVED SURFACES	Q24
Q24/505	REGULARITY OF PAVED SURFACES	Q24
Q24/600	SEALER/ STABILIZER FOR NEW BLOCKS AND SETTS	Q24
Q24/605	CLEANING/ SEALER/ STABILIZER FOR EXISTING BLOCKS AND SETTS	Q24
Q24/610	GUN APPLIED JOINT SEALER	Q24
Q24/615	COMPLETION OF PAVING	Q24
Q25	SLAB/ BRICK/ SETT/ COBBLE PAVINGS	Q
Q25/110	NATURAL STONE SLAB PAVING SYSTEM	Q25
Q25/115	NATURAL STONE SLAB PAVING OVERLAY SYSTEM	Q25
Q25/120	CONCRETE FLAG PAVING SYSTEM	Q25
Q25/125	CONCRETE FLAG PAVING OVERLAY SYSTEM	Q25
Q25/127	PEDESTAL SUPPORTED PAVING SLAB/ FLAG SYSTEM	Q25
Q25/130	RIGID BRICK PAVING SYSTEM	Q25
Q25/135	RIGID BRICK PAVING OVERLAY SYSTEM	Q25
Q25/140	NATURAL STONE SETT PAVING SYSTEM	Q25
Q25/145	NATURAL STONE SETT OVERLAY PAVING SYSTEM	Q25
Q25/150	CONCRETE SETT PAVING SYSTEM	Q25
Q25/155	CONCRETE SETT PAVING OVERLAY SYSTEM	Q25
Q25/160	NATURAL STONE COBBLE PAVING SYSTEM	Q25
Q25/165	NATURAL STONE COBBLE OVERLAY PAVING SYSTEM	Q25
Q25/170	PRECAST CONCRETE AND GRASS PAVING SYSTEM	Q25
Q25/175	PRECAST CONCRETE AND GRAVEL PAVING SYSTEM	Q25
Q25/180	PLASTICS GRASS REINFORCING PAVING SYSTEM	Q25
Q25/185	GRAVEL FILLED PLASTICS PAVING SYSTEM	Q25
Q25/190	HARD LANDSCAPING MATERIALS SPECIFICATION	Q25
Q25/210	DESIGN - NATURAL STONE SLAB PAVING SYSTEM	Q25
Q25/220	DESIGN - CONCRETE FLAG PAVING SYSTEM	Q25
Q25/230	DESIGN - RIGID BRICK PAVING SYSTEM	Q25
Q25/240	DESIGN - NATURAL STONE SETT PAVING SYSTEM	Q25
Q25/250	DESIGN - CONCRETE SETT PAVING SYSTEM	Q25
Q25/260	DESIGN - NATURAL STONE COBBLE PAVING SYSTEM	Q25
